Name,Slug,City,State,Website,Description,,,,,
Longhorn Solar,longhorn-solar,Austin,Texas,https://longhornsolar.com,Residential and commercial solar,,,,,
Texas Solar Professional LLC,texas-solar-professional-llc,Cedar Hill,Texas,https://texassolarprofessional.com,Residential solar installation & financing,,,,,
Lone Star Solar,lone-star-solar,Dallas,Texas,https://lonestarsolar.com,Premium solar installations,,,,,
NRG Clean Power,nrg-clean-power,Houston,Texas,https://nrgcleanpower.com,Solar panel installations & service,,,,,
"Solar SME, Inc.",solar-sme-inc,Grand Prairie,Texas,https://solarsme.com,Commercial & residential solar installs,,,,,
"IntegrateSun, LLC",integratesun-llc,Dallas,Texas,https://integratesun.com,Solar PV & energy storage systems,,,,,
Demand Construction,demand-construction,Dallas,Texas,https://demandconstruction.com,Green energy construction & installs,,,,,
Solar Optimum,solar-optimum,Lakeland,Florida,https://solaroptimum.com,Full-service solar installation & maintenance,,,,,
"Public Service Solar, LLC",public-service-solar-llc,Tallahassee,Florida,https://publicservicesolar.com,Residential & commercial solar installation,,,,,
"IntegrateSun, LLC",integratesun-llc,Orlando,Florida,https://integratesun.com,Solar panel & battery storage installations,,,,,
Sunshine State Solar,sunshine-state-solar,Sarasota,Florida,https://sunshinestatesolar.com,Residential solar panel systems,,,,,
Florida Power Management,florida-power-management,Orlando,Florida,https://fpmsolar.com,Solar energy system design & maintenance,,,,,
SunPower by Solar Source,sunpower-by-solar-source,Daytona Beach,Florida,https://www.solar-source.com,Premium solar panel installations,,,,,
Demand Construction,demand-construction,Fort Myers,Florida,https://demandconstruction.com,Green energy construction (solar & roofing),,,,,
Alamo Solar,alamo-solar,San Antonio,Texas,https://alamosolar.com,Military veteran-owned solar installer,,,,,
Texas Solar Group,texas-solar-group,Fort Worth,Texas,https://texassolargroup.com,Custom solar solutions since 2010,,,,,
Freedom Solar,freedom-solar,Austin,Texas,https://freedomsolarpower.com,SunPower-certified installations,,,,,
Native Solar,native-solar,Austin,Texas,https://nativesolar.com,Sustainable energy for Texas homes,,,,,
Texas Solar Guys,texas-solar-guys,Houston,Texas,https://texassolarguys.com,Affordable solar solutions,,,,,
Sunny Side Solar,sunny-side-solar,El Paso,Texas,https://sunnysidesolar.com,West Texas solar specialists,,,,,
Lighthouse Solar,lighthouse-solar,Austin,Texas,https://lighthousesolar.com,High-efficiency solar systems,,,,,
Solar Bear,solar-bear,Tampa,Florida,https://solarbear.com,Locally owned solar contractor,,,,,
Solar-Ray,solar-ray,Miami,Florida,https://solar-ray.com,Solar for South Florida homes,,,,,
SunVault Solar,sunvault-solar,Jacksonville,Florida,https://sunvaultsolar.com,Battery storage specialists,,,,,
SunPower Solar,sunpower-solar,Los Angeles,California,https://sunpowercalifornia.com,Whole-home solar solutions,,,,,
Desert Sun Solar,desert-sun-solar,Phoenix,Arizona,https://desertsunsolaraz.com,High-efficiency desert solar systems,4.7,,TRUE,18/05/2025,18/05/2025
Rocky Mountain Solar,rocky-mountain-solar,Denver,Colorado,https://rockymountainsolar.co,Mountain-region solar specialists,4.9,,TRUE,18/05/2025,18/05/2025
Vegas Solar Solutions,vegas-solar-solutions,Las Vegas,Nevada,https://vegassolarsolutions.com,Solar for desert climates,4.6,,TRUE,18/05/2025,18/05/2025
Green Energy Solutions,green-energy-solutions,San Diego,California,https://greensolutionsca.com,Sustainable solar installations,4.8,,TRUE,18/05/2025,18/05/2025
Carolina Solar Works,carolina-solar-works,Charlotte,North Carolina,https://carolinasolarworks.com,East Coast solar energy systems,4.7,,TRUE,18/05/2025,18/05/2025
